fir_id,crime_type,severity,status,date,time,area,city,state,lat,lng,crime_description,victim_name,victim_gender,victim_age,victim_contact,victim_email,victim_address
FIR100000,Fraud,Critical,Pending,2025-10-02,10:13:05,Kurla West Ext Ext,Mumbai,Maharashtra,19.0608981061089,72.88016406295353,Ducimus repudiandae quam mollitia et atque harum quod nobis ab quo iusto.,Bhavini Karpe,Female,46,04432830965,parmervarsha@example.net,"89, Kothari Road, Tadepalligudem-009004"
FIR100001,Cybercrime,Medium,Resolved,2025-03-11,06:23:22,Ghatkopar East,Mumbai,Maharashtra,19.079604406309805,72.9186655368199,Maxime qui quod numquam officiis inventore optio facere ratione modi consequatur eius quas.,Theodore Gupta,Male,50,2074466609,nilimabhardwaj@example.net,"69, Chatterjee Street, Arrah 365146"
FIR100002,Vandalism,Medium,Active,2025-02-05,21:44:02,Dadar Ext Ext,Mumbai,Maharashtra,19.019810863582492,72.8424076956263,Voluptates nostrum sint praesentium itaque odio tempora eveniet veniam unde in magni architecto dignissimos vitae.,Laksh Chatterjee,Other,60,9353875842,malhotradipta@example.org,"H.No. 142, Shan Road, Jamshedpur 720113"
FIR100003,Theft,Critical,Pending,2025-11-10,09:50:44,Powai,Mumbai,Maharashtra,19.119170555438068,72.90925295758909,Deleniti inventore adipisci possimus commodi omnis provident voluptate provident debitis consequatur cupiditate cupiditate sed.,Dayamai Sastry,Female,79,8241724825,qgole@example.com,"H.No. 09, Bhatnagar Chowk, Thrissur-660076"
FIR100004,Murder,High,Active,2025-05-13,22:44:54,Jogeshwari East Ext Ext Ext Ext Ext,Mumbai,Maharashtra,19.11002358260462,72.84019008205598,Atque nulla sunt saepe dolorem repellat illum totam delectus doloremque est.,Janya Deep,Other,70,1353465549,warda23@example.net,"090, Mand Zila, Nangloi Jat-404337"
FIR100005,Vandalism,High,Pending,2025-05-02,19:36:35,Kandivali West Ext Ext,Mumbai,Maharashtra,19.213677335371184,72.84549290568548,Atque molestias officiis est eaque eos voluptas.,Chakrika Narain,Other,32,07170999173,mananbawa@example.org,"68/73, Mangat Nagar, Hubli–Dharwad 778255"
FIR100006,Kidnapping,Medium,Pending,2025-04-23,07:45:32,Bandra East,Mumbai,Maharashtra,19.06166648220188,72.84690045531963,Culpa voluptates adipisci possimus doloribus saepe facilis possimus esse illum praesentium.,Parth Iyer,Female,19,1684602235,baradqarin@example.net,"56/296, Sibal Path, Jalna-786561"
FIR100007,Fraud,Medium,Active,2025-03-22,14:26:30,Dadar Ext Ext,Mumbai,Maharashtra,19.020662249461637,72.84721463507317,Blanditiis quasi incidunt aperiam excepturi voluptatibus ab rem.,Jasmit Wali,Male,69,09725217525,cnadig@example.net,"H.No. 57, Zacharia Chowk, Kalyan-Dombivli 829582"
FIR100008,Assault,High,Pending,2025-11-09,05:47:54,Jogeshwari West,Mumbai,Maharashtra,19.150068003285106,72.84422702994209,Aut libero deserunt molestiae provident tempore iusto eum rerum consequatur saepe.,Nitesh Kurian,Other,56,0074329271,darshlad@example.com,"61/618, Barman Circle, Ramgarh-482357"
FIR100009,Murder,Critical,Pending,2025-03-07,17:51:40,Malad East Ext Ext Ext,Mumbai,Maharashtra,19.17443195079606,72.86677726472328,Placeat numquam magni repudiandae harum asperiores temporibus quod.,Chakrika Nigam,Other,70,+919666676008,panditchaitanya@example.net,"58/686, Panchal Ganj, Aligarh 723081"
